body	Poštovani suče Landgerichta Landshut,
body	Ovim zahtjevom za privremenu mjeru tražim od suda da naloži društvu Schufa Holding AG da dostavi moju informiranu privolu. Dostava moje informirane privole od strane Schufe ključna je za razjašnjenje pitanja zakonitosti obrade mojih podataka i s time povezanog uskraćivanja usluge od strane Deutsche Telekom AG odnosno O2 Telefónice. U nedostatku te informirane privole, obrada mojih podataka je nezakonita, a primjena automatizirane pojedinačne odluke (APO) je ništava.
body	Kako bi obradila i prodala moje podatke trećoj strani poput Telekoma, Schufa mora raspolagati čvrstom pravnom osnovom u smislu GDPR-a. Ta pravna osnova može biti:
h1	1. Pravna osnova za obradu od strane Schufe (čl. 6. GDPR-a)
h2	4. Informirana privola (čl. 6. st. 1. t. (a) GDPR-a)
body	Schufi bi bila potrebna vaša izričita informirana privola čim obrađuje ili prosljeđuje vaše podatke u svrhe koje nisu nužne za izvršenje ugovora ili za zaštitu legitimnih interesa. Zato pozivam sud da od Schufe, putem sudske mjere, zahtijeva moju izričitu informiranu privolu (IP) i da je uloži u spis kao dokaz.
h2	5. Zakonska obveza (čl. 6. st. 1. t. (c) GDPR-a)
body	Ako bi teoretski postojala precizna zakonska odredba koja nalaže prosljeđivanje podataka Telekomu, Schufa bi to morala dokazati. U konkretnom slučaju i Schufa i Telekom morali bi, međutim, točno navesti koji ih zakon na to ovlašćuje.
h2	6. Legitimni interesi (čl. 6. st. 1. t. (f) GDPR-a)
body	Schufa može tvrditi da obrađuje podatke na temelju legitimnih interesa, ali:
bullet	Ti interesi ne mogu prevagnuti nad mojim pravima i slobodama.
bullet	Prodaja mojih podataka Telekomu od strane Schufe ne smatra se legitimnim interesom Schufe, jer prodaja osobnih podataka u komercijalne svrhe nije nužna i ne postoji nijedan dovoljno uvjerljiv legitiman razlog koji bi takvu obradu opravdavao. U vezi s podneskom odvjetnika Schufe od 20.11.2024.: „IV. Datenverarbeitung der Beklagten zu 2 jedenfalls rechtmäßig." (stranica 3).
h2	7. Nezakonita prodaja podataka
body	Ako Schufa prosljeđuje podatke bez moje informirane privole ili bez druge dostatne pravne osnove, riječ je o povredi GDPR-a. Prodaja podataka isključivo radi dobiti ili u komercijalne svrhe, kao u slučaju Telekoma, ni u kojem slučaju ne potpada pod „legitiman interes".
body	Zaključak: ni Schufa ni Telekom nemaju automatsko pravo obrađivati i dijeliti vaše podatke. Prodaja podataka trećoj strani poput Telekoma mora se temeljiti na izričitoj informiranoj privoli ili bi zahtijevala vrlo čvrsto pravno opravdanje — što se, u slučaju komercijalnih praksi poput prodaje podataka u komercijalne svrhe, pokazuje nelegitimnim.
